Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045
Norway,202.1,190.7,205.2,232.0,4.7,3.6,4.1,4.4,312.8,404.0,447.6,517.3,7.4,5.4,5.9,6.3,0,213.7,228.6,249.5,0,4.8,5.2,5.2,2129.7,2230.4,2398.1,11166.4,11694.3,12573.7
Oman,138.4,445.6,639.9,897.0,10.5,13.8,15.0,15.4,148.8,218.4,278.1,358.2,9.6,6.9,7.1,7.2,0,195.6,233.8,278.7,0,4.8,5.0,5.0,376.6,498.7,581.7,845.2,1119.4,1305.5
Pakistan,6349.2,32964.5,42850.7,62018.5,7.9,30.8,32.8,33.6,7198.0,10573.3,13358.8,18727.9,8.5,9.4,9.9,10.2,0,2412.4,3007.5,4215.4,0,2.1,2.1,2.1,2639.9,3271.9,4354.5,80.1,99.3,132.1
Palau,1.4,1.9,2.0,2.1,11.1,17.0,18.2,19.1,1.1,0.8,0.9,0.9,9.4,7.4,7.9,8.2,0,0.6,0.7,0.7,0,4.5,4.6,4.6,3.8,3.9,3.8,2012.5,2054.2,1986.7
Panama,196.2,236.0,290.9,369.6,9.4,8.2,8.9,9.3,128.5,329.6,395.4,487.2,6.0,11.8,12.4,12.7,0,334.2,409.9,524.5,0,9.9,10.3,10.5,344.6,398.8,456.5,1460.5,1689.9,1934.7
Papua New Guinea,216.8,724.0,901.4,1229.7,7.6,16.7,16.7,16.8,262.7,322.2,410.6,577.0,8.3,7.4,7.9,8.2,0,980.9,1216.0,1621.5,0,20.5,20.2,20.1,121.6,146.2,191.6,167.9,201.9,264.7
Paraguay,205.0,274.6,333.4,447.1,6.5,7.5,8.3,8.8,190.4,454.9,551.5,709.3,5.8,10.8,11.4,11.7,0,471.2,580.6,772.4,0,9.9,10.3,10.5,365.5,443.1,527.0,1331.3,1613.8,1919.4
Peru,942.2,1300.7,1587.9,1970.6,6.0,4.8,5.3,5.5,988.5,2516.7,2928.1,3503.8,6.0,10.8,11.4,11.7,0,2898.2,3366.9,4047.3,0,9.9,10.3,10.5,1731.8,1988.8,2218.8,1331.5,1529.0,1705.9
Philippines,4219.7,4303.9,5456.3,7503.9,9.7,7.1,7.8,8.2,6411.1,4195.8,5222.3,6960.2,14.3,6.7,7.2,7.4,0,1466.1,1802.5,2350.3,0,2.3,2.5,2.5,1940.3,2349.5,3023.9,450.8,545.9,702.6
Poland,3057.5,2677.0,2810.9,2751.6,9.0,6.8,7.8,8.5,5223.9,2446.4,2416.9,2393.7,16.4,6.8,7.4,7.7,0,747.7,757.9,700.8,0,2.2,2.4,2.5,2661.7,2637.2,2341.0,994.3,985.1,874.5
Portugal,1021.4,994.1,1012.8,970.7,9.6,9.1,10.3,11.0,1113.8,1064.9,1069.5,1011.6,11.2,10.5,11.4,12.1,0,270.8,269.6,242.8,0,2.8,3.1,3.2,2279.7,2201.9,1959.2,2293.3,2215.0,1970.9
Puerto Rico,388.5,413.4,429.7,392.1,13.0,13.3,15.0,15.9,178.0,285.0,296.2,263.5,6.3,11.8,12.4,12.7,0,335.3,351.4,314.3,0,9.9,10.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,216.9,394.9,556.1,795.5,19.8,19.5,21.7,22.8,212.9,360.6,452.2,578.6,16.6,12.9,13.5,13.8,0,313.7,369.8,423.3,0,8.8,8.9,8.9,796.7,1015.2,1215.3,2017.2,2570.6,3077.2
Réunion,92.6,0.0,0.0,0.0,16.0,0.0,0.0,0.0,61.3,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Korea,3186.4,3511.8,3934.2,3860.9,7.5,6.8,7.2,7.8,4869.3,6082.4,6504.6,6031.3,12.2,11.5,12.4,12.8,0,2343.5,2326.1,2046.5,0,4.5,4.6,4.6,8971.2,9182.8,7807.8,2554.6,2614.8,2223.3
Republic of Moldova,80.0,207.3,227.5,223.5,2.7,5.6,6.4,6.8,266.1,142.5,146.2,136.0,9.5,3.5,3.9,4.2,0,77.4,81.8,78.4,0,2.3,2.4,2.5,101.9,120.0,102.9,491.7,579.0,496.3
Romania,1506.3,1199.0,1203.3,1128.5,7.7,6.5,7.1,7.5,1750.4,635.0,621.5,512.9,9.6,3.5,3.9,4.2,0,381.8,377.8,341.4,0,2.2,2.4,2.5,1115.3,1069.9,944.1,930.2,892.3,787.4
Russian Federation,12593.2,7392.1,7899.5,7332.2,9.7,5.6,6.4,6.8,11989.8,3124.3,3086.0,2617.8,10.0,3.5,3.9,4.2,0,2823.9,2866.2,2660.7,0,2.3,2.4,2.5,12860.9,14581.7,12559.3,1739.8,1972.6,1699.0
Rwanda,126.2,297.0,444.7,720.2,3.1,6.5,7.3,7.4,420.7,777.8,1084.0,1810.7,9.2,19.2,21.1,22.5,0,340.9,514.0,790.9,0,6.7,7.4,7.4,68.5,90.3,133.9,230.7,304.0,450.8
Saint Kitts and Nevis,2.9,6.4,7.3,8.2,8.5,16.1,18.2,19.8,3.7,2.0,2.3,2.5,11.0,5.3,5.8,6.2,0,2.8,3.2,3.6,0,9.9,10.3,10.5,6.7,7.4,7.6,1055.7,1153.3,1188.0
Saint Lucia,8.6,15.9,18.9,22.1,8.4,11.7,13.2,14.1,11.6,6.7,7.8,8.9,11.0,5.0,5.5,5.8,0,8.8,10.1,11.5,0,9.9,10.3,10.5,14.4,15.9,17.1,905.0,1001.6,1077.1
Saint Vincent and the Grenadines,5.8,6.5,7.3,7.9,8.8,8.0,8.8,9.2,7.3,4.0,4.6,5.0,10.9,5.0,5.5,5.8,0,2.2,2.5,2.6,0,2.6,2.9,3.1,5.9,6.5,6.8,902.9,995.2,1039.4
Samoa,6.6,7.7,9.3,11.7,7.7,9.2,10.4,10.9,5.9,6.7,7.9,10.0,6.6,7.1,7.6,7.9,0,12.1,14.0,17.7,0,13.5,13.2,13.0,4.3,4.8,6.3,558.1,630.6,817.9
San Marino,1.8,2.7,2.9,3.0,5.5,7.4,8.2,8.9,2.2,2.7,2.8,2.9,7.6,8.4,9.0,9.4,0,0.9,0.9,0.9,0,2.8,3.1,3.2,10.5,10.8,10.1,3852.2,3951.2,3707.9
Sao Tome and Principe,3.6,6.1,8.2,12.9,5.5,5.5,5.9,6.0,5.7,10.6,13.6,20.7,8.9,11.3,11.5,11.9,0,6.1,8.3,12.4,0,4.9,4.9,4.8,4.0,5.2,7.6,664.4,850.6,1261.0
Saudi Arabia,2759.6,4274.1,5631.0,7537.3,19.6,18.7,20.4,21.4,177.4,3830.0,4819.4,6319.2,1.3,12.9,13.5,13.7,0,3003.4,3524.6,4073.8,0,8.8,8.9,8.9,7459.5,9041.3,10045.2,1745.3,2115.4,2350.3
Senegal,146.5,189.4,276.4,494.0,3.2,3.1,3.5,3.7,603.4,769.3,1008.9,1631.3,11.7,11.3,11.5,11.9,0,150.4,208.5,349.2,0,2.0,2.1,2.2,56.8,79.2,131.4,299.7,418.4,694.0
Serbia,671.0,796.8,801.1,773.2,7.7,9.1,10.2,10.9,771.5,515.8,499.5,447.1,9.6,7.3,7.5,7.7,0,151.0,151.5,144.3,0,1.7,2.0,2.1,1134.9,1137.2,1044.9,1424.4,1427.3,1311.5
Seychelles,3.5,6.6,7.5,7.6,12.1,8.5,9.1,9.5,2.9,6.6,6.9,6.7,9.1,8.5,8.8,8.9,0,3.3,3.8,4.0,0,4.9,5.4,5.4,6.2,6.7,6.2,940.7,1007.5,927.2
Sierra Leone,72.1,70.6,93.7,144.5,3.2,2.1,2.2,2.3,284.2,372.2,468.4,705.8,11.2,11.3,11.5,11.9,0,184.8,245.1,366.3,0,4.8,4.7,4.7,29.8,38.6,56.1,422.2,546.2,795.1
Singapore,426.7,711.8,872.3,898.9,9.5,11.6,13.3,14.3,524.4,726.4,815.0,799.5,12.4,13.5,14.4,14.8,0,308.0,316.4,295.1,0,6.5,6.4,6.4,1769.6,1894.8,1708.4,2486.1,2662.1,2400.1
Slovakia,275.5,349.7,382.2,395.8,5.7,5.8,6.9,7.7,335.7,179.2,183.6,162.4,7.1,3.5,3.9,4.2,0,108.9,111.9,105.0,0,2.2,2.4,2.5,543.5,564.4,533.3,1554.2,1614.1,1525.1
Slovenia,160.4,137.8,146.3,138.1,7.5,5.8,6.8,7.3,138.5,124.4,124.4,114.0,7.1,7.3,7.5,7.7,0,37.1,39.3,36.8,0,1.7,1.9,2.1,343.9,344.4,301.2,2496.1,2499.8,2186.6
Solomon Islands,34.5,53.3,71.0,110.4,15.3,19.8,21.4,22.3,20.2,22.5,29.4,44.3,8.4,7.4,7.9,8.2,0,39.8,51.2,76.7,0,12.2,12.3,12.3,13.1,16.7,25.0,245.2,313.0,469.8
Somalia,185.1,376.0,576.3,1018.1,4.3,6.5,7.3,7.4,438.3,1099.1,1542.9,2658.1,11.2,19.2,21.2,22.5,0,445.1,713.6,1212.8,0,6.7,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0
