Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045,OverWeight,Obesity,QualityOfLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,PollutionIndex
Kuwait,3186.4,3511.8,3934.2,3860.9,7.5,6.8,7.2,7.8,4869.3,6082.4,6504.6,6031.3,12.2,11.5,12.4,12.8,0,2343.5,2326.1,2046.5,0,4.5,4.6,4.6,8971.2,9182.8,7807.8,2554.6,2614.8,2223.3,21.125,20.175,149.75,87.5,56.16,57.93,72.02,16.24
Kyrgyzstan,298,803.4,1051.4,1267.4,20.7,24.9,28.1,29.8,293.6,581.7,700.2,823.8,17.9,19.2,20.2,20.7,0,460.5,492.5,513,0,13,13.1,13,1465,1685.5,1757.5,1823.6,2098.1,2187.7,13.33,14.385,94.2,46.2,19.13,23.61,66.2,62.59
Lao PDR,154.2,256.4,311.7,395.4,6.3,6.6,7.3,7.7,147.3,116.9,151,206.5,5.9,3.3,3.7,4,0,189.5,219.7,253,0,4.3,4.6,4.8,59.2,74.7,88.3,231,291.4,344.3,18.29,16.24,0,11.2,56.68,58.78,39.4,26.17
Latvia,90.1,214.8,289.7,432.7,3.3,6.2,7.1,7.5,292.2,346.7,432.8,578.2,9.5,8.9,9.3,9.5,0,83.6,101.4,131.4,0,2.1,2.1,2.2,43.6,56.2,74.5,202.9,261.5,346.7,20.405,17.295,157.81,44.6,62.63,62.44,68.8,21.79
Lebanon,166.3,115.8,111.4,94.6,7.8,5.9,6.6,7.1,192.1,49.8,46.4,36.2,9.9,3.5,3.9,4.2,0,36.7,34.7,29.2,0,2.2,2.4,2.5,154.6,143.9,117.3,1335,1242.7,1012.9,21.44,12.04,82.93,54,53.34,63.21,75.8,21
Lesotho,527.9,396.1,469,593.6,19.6,8,9.2,10,206.2,327.2,333.9,365.7,7.5,10,10.3,10.4,0,523.7,542.4,611.8,0,9.8,10.1,10.4,764.7,807.3,921.5,1930.8,2038.2,2326.6,18.155,21.98,0,23,52.8,55.56,33.8,43.58
Liberia,29.1,48.4,57.8,74.8,3.4,4.6,4.9,5,59.2,69.7,82.8,109.1,7,6.9,7.2,7.4,0,96.3,114.5,150.3,0,9.6,10,10.1,23,27,32.8,474.9,558.1,678.5,14.7,13.31,0,0,74.8,77.86,0,64.16
Libya,51,47.1,63.2,98.5,3.3,2.1,2.2,2.3,210.5,247.3,319,490.4,12.2,11.3,11.5,11.9,0,124.5,169.3,260.5,0,4.8,4.7,4.7,10.9,14.2,21.6,231.2,302,458.5,10.185,20.445,128.51,84.8,80.39,79.78,65.8,24.39
Liechtenstein,436.4,399.2,513.6,673.3,13.8,8.7,9.3,9.7,255.4,343.5,409.5,486.2,7.4,10,10.3,10.4,0,487.7,599.2,759,0,9.8,10.1,10.4,0,0,0,0,0,0,19.47,0,0,0,85.02,70.37,0,59.53
Lithuania,1.8,2.5,2.6,2.6,4.7,6.1,6.9,7.4,2.3,5.5,5.8,5.8,6.7,15.8,16.9,17.8,0,0.7,0.8,0.8,0,2.2,2.4,2.5,0,0,0,0,0,0,18.475,17.405,170.23,37.8,67.59,75.2,75.8,85.52
Luxembourg,235.9,186.9,188.3,154.4,7.8,5.8,6.7,7.4,274.6,73.2,67.2,49,9.9,3.5,4,4.2,0,53.4,50.2,41.4,0,2.2,2.4,2.5,250.9,241.8,190.5,1342.5,1293.7,1019.6,15.31,16.44,220.43,33,65.7,76.68,63.8,59.31
Macedonia,283.9,423.1,635.4,1232.2,4.2,5.2,5.1,5,533.5,897.9,1213.5,2228.3,8.9,11.3,11.5,11.9,0,603.2,892.5,1725,0,7.5,7.3,7.1,60.1,89.9,174.5,142,212.6,412.4,14.75,12.495,0,0,73.9,60.98,0,21.79
Madagascar,21.1,34.6,39.8,48.1,4.5,5.9,6.6,7.3,33,84.4,95.3,108.5,7.5,15.8,16.9,17.7,0,25.8,29.4,33.3,0,4.9,5.3,5.5,283.8,321.5,350.5,8192.5,9280.5,10116.6,12.145,7.53,0,0,63.04,38.27,0,14.95
Malawi,134.9,116.1,124.5,122.3,7.7,6.1,7,7.6,158.3,120.9,122.7,116.2,9.6,7.3,7.5,7.7,0,33.7,36.8,37.6,0,1.7,2,2.1,113.9,125,118.8,980.5,1076.6,1022.7,18.655,13.48,0,15.2,62.22,65.33,33.2,93.71
Malaysia,428,535.8,742.1,1202.8,4.7,4.6,4.9,5,930.8,936.2,1329.6,2215.3,10.4,7.9,8.3,8.5,0,1118.9,1563.2,2560.4,0,9.4,9.7,9.9,52.8,72.7,114.3,98.5,135.6,213.3,14.7,10.155,132.05,39.4,74.75,69.94,60.8,47.86
Maldives,352.3,486,699.2,1184.5,5.6,7.3,7.4,7.4,552.8,472.5,682.1,1188.8,9.3,7.9,8.3,8.5,0,382.8,544.8,933.8,0,6,6.3,6.5,73.2,100.9,161.9,150.7,207.6,333.1,17.41,23.71,0,36.2,44.98,60.02,68.6,67.79
Mali,2029.9,4431.5,5024.9,6465.4,12.1,19,18.9,19.6,3160.8,3508.8,4111.2,4899.1,18.4,15.5,15.8,16,0,494.9,599.7,744.7,0,2.2,2.3,2.4,4833.5,5653.4,6317.4,1090.7,1275.7,1425.6,27.235,62.36,0,0,33.29,18.52,0,33.33
Malta,15.2,27,35.6,51,9.2,9.2,10,10.4,8.5,43.6,46.9,56.8,4.8,12.4,12.4,12.4,0,28.6,30.8,38.4,0,7.8,8.2,8.3,50.5,56,57.7,1867.4,2071.4,2132.9,21.77,33.485,127.25,57.4,57.32,52.13,72.2,17.99
Marshall Islands,99.8,152.5,213.4,366.2,1.9,2.1,2.2,2.3,654.1,813.2,1096.8,1878.3,11.1,11.3,11.5,11.9,0,410.5,596.5,1039.4,0,4.8,4.7,4.7,28.9,40,67.7,189.6,262.4,444.3,12.535,5.86,0,88.2,72.55,83.33,56.8,95.87
Martinique,30.1,37.8,36.3,36.2,6.6,8,8.7,9.4,26.9,35.1,34.9,34,6.7,8.4,9,9.4,0,11.3,11.4,11.2,0,2.8,3.1,3.2,107.1,104.2,97,2837.6,2758.9,2569.1,22.665,45.25,0,43.8,35.67,75,67.2,25.97
Mauritania,7,9.1,10.7,13.1,21.8,23,24.8,26,3,2.7,3.2,3.8,9.2,7.4,7.9,8.2,0,5.5,6.3,7.4,0,13.5,13.2,13,13.6,15.5,18.1,1493.9,1699.5,1979.2,43.54,76.095,0,0,23.68,46.76,0,84.08
Mauritius,43,0,0,0,12.1,0,0,0,34.9,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09,19.88,0,38.2,85.97,65.18,70.4,77.79
Mayotte,60.6,45,62,96.5,4.3,2.1,2.2,2.3,184.8,233.3,304.4,473.7,11.6,12.4,11.5,11.9,0,124.6,169.8,264.7,0,4.9,4.9,4.8,12.8,17.4,25.7,284.5,386.4,571.8,13.085,7.06,0,62,0,86.11,61.2,78.81
Mexico,138.2,250.4,275.3,278.2,14.8,22.6,25.2,26.6,95.3,116.4,119.6,115.5,10.3,12.4,12.4,12.4,0,83.1,86.5,81.6,0,7.8,8.2,8.3,147.3,148.7,140.8,588.4,593.9,562.4,43.07,74.715,126.4,73.8,25.98,42.19,76.6,92.07
Micronesia (Federated States of),0,5.7,7.8,12.4,0,4.6,4.9,5,0,16.5,22,36.1,0,13.9,14.4,14.5,0,8.9,13.7,20.6,0,6.7,7.4,7.4,0,0,0,0,0,0,15.575,10.245,0,0,53.13,44.44,0,24.52
Moldova,1506.3,1199,1203.3,1128.5,7.7,6.5,7.1,7.5,1750.4,635,621.5,512.9,9.6,3.5,3.9,4.2,0,381.8,377.8,341.4,0,2.2,2.4,2.5,1115.3,1069.9,944.1,930.2,892.3,787.4,16.795,21.8,120.54,45.4,55.16,51.07,82.4,62.57
Monaco,10293.7,14123.2,17062.7,21181.9,15.6,16.9,18.3,18.9,7071.9,10655.2,12763.5,15770.2,10.6,12.4,13.3,13.9,0,7536.3,8832.3,10476.9,0,8.7,9,9.1,19946.8,22549.9,25490.3,1412.3,1596.7,1804.9,56.96,37.93,0,0,34.31,36.57,0,77.67
Mongolia,7.7,8.7,10.3,13.2,15.7,15.6,16.9,17.4,4.4,4.6,5.4,6.7,8.5,7.4,7.9,8.2,0,8.2,9.3,11,0,13.5,13.2,13,8.7,10.3,12.1,1000.7,1180.5,1397.9,25.84,14.41,62,37,47.85,51.95,61.8,77.54
Montenegro,80,207.3,227.5,223.5,2.7,5.6,6.4,6.8,266.1,142.5,146.2,136,9.5,3.5,3.9,4.2,0,77.4,81.8,78.4,0,2.3,2.4,2.5,101.9,120,102.9,491.7,579,496.3,19.58,18.705,142.97,0,64.05,40.21,0,45.22
Morocco,2.1,2.7,3,3.1,5.6,6.2,7.3,7.9,2.6,3,3.2,3.4,7.6,8.3,8.9,9.3,0,1,1.1,1.1,0,2.8,3,3.1,9.1,9.7,9.7,3416.9,3634.8,3622.9,14.4,20.13,113.41,40,52.47,47.17,66,46.8
Mozambique,117.5,150.8,174.8,210.6,7.1,6.9,7,7,137,193.5,225.1,305,8.5,9.5,9.7,10,0,44.7,53.9,68.3,0,2.2,2.3,2.4,88.1,96.4,106.2,584,639,704,20.405,9.55,0,18.2,35.84,57.48,30.8,56.84
Myanmar,41.9,54.7,58.5,58.5,7.7,9.1,10.2,10.9,48.9,35,35.7,33.9,9.7,7.3,7.5,7.7,0,10,10.8,10.6,0,1.7,2,2.1,0,0,0,0,0,0,18.925,33.305,0,0,49.2,54.07,0,65.08
Namibia,1267.9,2327.7,2875.5,3574.7,6.8,9.1,9.8,10.2,1408.3,2190.5,2465.8,2773.1,7.4,10,10.3,10.4,0,2540.1,3048.5,3724.3,0,9.8,10.1,10.4,1102.7,1327.4,1513.6,473.7,570.3,650.2,15.095,33.705,0,16.8,36.19,65.07,26.6,41.43
Nauru,294.7,349.3,512.4,956.7,3.1,3.3,3.4,3.4,1125.8,943.9,1357.3,2384,11.4,7.9,8.3,8.5,0,1110.1,1573.7,2744.7,0,9.4,9.7,9.9,79.2,114.4,201,226.7,327.4,575.3,13.135,8.5,0,116.2,76.5,77.57,48.2,21
Nepal,2103.7,2346.6,2791.4,3437.9,7.1,7.1,7.7,8,2635.7,3003.5,3503.2,4082.2,8.7,8.9,9.3,9.5,0,755.2,888,1043.6,0,2.2,2.3,2.4,394.5,457.3,554.3,168.1,194.9,236.2,17.305,20.54,85.45,14.4,54.33,57.64,52.2,58.84
Netherlands,74.1,75,102.5,166.4,7.8,6.7,7.3,7.9,78.4,90.7,118.7,177.4,7.6,6.9,7.2,7.4,0,72.5,97.5,148,0,5.8,6.1,6.2,159.1,211.2,299.5,2120.9,2815.9,3991.9,22.95,61.005,206.39,31.4,73.61,79.22,70.2,55.63
Netherlands Antilles,1.2,1.5,1.7,1.8,20.4,23.4,25,26.2,0.6,0.5,0.5,0.6,9.6,7.6,8.3,8.6,0,0.4,0.4,0.5,0,6.5,6.4,6.4,1.6,1.7,1.6,1051.5,1066.5,1046.8,48.84,61.005,206.39,0,22.26,29.37,0,93.35
New Caledonia,488.2,1133.5,1553.4,2180.1,3.6,8.7,9.2,9.4,316,709.5,963.6,1404.7,2.2,5.4,5.8,6,0,1656.7,2031.4,2367.8,0,7.8,8.2,8.3,115.8,150.6,190.5,102.2,132.9,168.1,37.875,30.42,0,76.8,50.57,54.17,56.2,59.31
New Zealand,881.6,857,910.4,894.7,5.3,4.5,5.3,5.8,1143.3,2478.6,2515.9,2442.5,7.5,15.8,16.9,17.7,0,749.8,769.4,743.2,0,4.9,5.3,5.5,5523.1,5481.1,5129.2,6444.9,6395.9,5985.3,15.065,9.27,183.23,65.2,75.47,69.23,65.8,21.79
Nicaragua,20.6,0,0,0,12,0,0,0,17.2,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,11.535,0,44,85.02,60.02,66.2,14.95
Niger,14.6,49.8,57.2,67.7,8.6,23.4,25,26.2,18.7,16,18.5,21.5,11.1,7.4,7.9,8.2,0,10.7,12.2,13.8,0,4.5,4.6,4.6,0,0,0,0,0,0,18.67,10.255,0,9.8,25.98,27.73,19.6,93.71
Nigeria,312.1,268.7,296.8,319.6,8.6,6.2,7,7.5,419.1,366.2,401.2,429.6,12.3,8.8,9.7,10.2,0,201.5,213.9,228,0,4.5,4.6,4.6,1066.2,1101.2,1116.7,3967.5,4098.1,4155.6,15.005,17.705,47.3,0,61.27,48.45,0,47.86
